url,res_code,content_type,res_time
account.tsukuba.ac.jp,200,text/html,0.077170s
ai.iit.tsukuba.ac.jp,200,text/html,0.102925s
akane.cipher.risk.tsukuba.ac.jp,200,text/html; charset=UTF-8,0.481417s
akif2.tara.tsukuba.ac.jp,200,text/html,0.086301s
anzenkanri.tsukuba.ac.jp,200,text/html,0.071652s
apps1.ecloud.tsukuba.ac.jp,200,text/html; charset=UTF-8,0.114947s
archive.criced.tsukuba.ac.jp,200,text/html,0.080778s
atx01.slis.tsukuba.ac.jp,200,text/html,0.079423s
beat.islab.cs.tsukuba.ac.jp,200,text/html; charset=UTF-8,0.298566s
beatbox.slis.tsukuba.ac.jp,200,text/html,0.172353s
bigdata.kde.cs.tsukuba.ac.jp,200,text/html,0.136407s
bpgi.tsukuba.ac.jp,200,text/html; charset=UTF-8,0.683159s
ce.slis.tsukuba.ac.jp,200,text/html; charset=UTF-8,0.531463s
cecom.kz.tsukuba.ac.jp,200,text/html,0.070904s
ces.esys.tsukuba.ac.jp,200,text/html,0.102665s
cgg.cs.tsukuba.ac.jp,200,text/html,0.132226s
cgi.u.tsukuba.ac.jp,200,text/html,0.146280s
cgi01.u.tsukuba.ac.jp,200,text/html,0.037645s
cj.tsukuba.ac.jp,200,text/html; charset=UTF-8,1.122718s
comas.frsc.tsukuba.ac.jp,200,text/html,0.139513s
conclave.cs.tsukuba.ac.jp,200,text/html,0.182290s
core.taiiku.tsukuba.ac.jp,200,text/html; charset=UTF-8,0.300213s
cr.iit.tsukuba.ac.jp,200,text/html; charset=UTF-8,0.448299s
creil.md.tsukuba.ac.jp,200,text/html,0.131000s
crs1.high-s.tsukuba.ac.jp,200,text/html,0.035312s
css.risk.tsukuba.ac.jp,200,text/html,0.081946s
cu-s01.slis.tsukuba.ac.jp,200,text/html,0.079276s
dac.tsukuba.ac.jp,200,text/html; charset=UTF-8,0.681189s
db.sleepymouse.tsukuba.ac.jp,200,text/html,0.122100s
diana.ccs.tsukuba.ac.jp,200,text/html; charset=UTF-8,0.074680s
digamma.slis.tsukuba.ac.jp,200,text/html,0.078445s
dl.slis.tsukuba.ac.jp,200,text/html,0.127504s
doclib3.slis.tsukuba.ac.jp,200,text/html,0.077316s
doienvrad.ied.tsukuba.ac.jp,200,text/html,0.097885s
donau.esys.tsukuba.ac.jp,200,text/html; charset=UTF-8,0.072771s
ds.cc.tsukuba.ac.jp,200,text/html,0.119534s
e-archive.criced.tsukuba.ac.jp,200,text/html,0.092529s
e-archives.criced.tsukuba.ac.jp,200,text/html,0.113344s
eclab.kz.tsukuba.ac.jp,200,text/html,0.087233s
emc1.emc.tsukuba.ac.jp,200,text/html,0.281306s
emc4.emc.tsukuba.ac.jp,200,text/html,0.136951s
emp.tsukuba.ac.jp,200,text/html,1.318452s
endo.risk.tsukuba.ac.jp,200,text/html,0.092385s
entry.ap-graduate.tsukuba.ac.jp,200,text/html; charset=UTF-8,0.139255s
enu.sleepymouse.tsukuba.ac.jp,200,text/html; charset=utf-8,0.111822s
eva.vrlab.esys.tsukuba.ac.jp,200,text/html; charset=UTF-8,0.480872s
farm.t-pirc.tsukuba.ac.jp,200,text/html,0.148401s
figaro.elementary-s.tsukuba.ac.jp,200,text/html,0.158924s
fmm.kz.tsukuba.ac.jp,200,text/html; charset=UTF-8,0.105396s
fujiyama.slis.tsukuba.ac.jp,200,text/html,0.208665s
gama.tulips.tsukuba.ac.jp,200,text/html,0.085844s
gamma.slis.tsukuba.ac.jp,200,text/html,0.156723s
gauss.ph.tsukuba.ac.jp,200,text/html; charset=UTF-8,0.072093s
gene.tsukuba.ac.jp,200,text/html,0.103320s
genis.jinsha.tsukuba.ac.jp,200,text/html; charset=UTF-8,0.760422s
genome.t-pirc.tsukuba.ac.jp,200,text/html,0.075881s
gentzen.cs.tsukuba.ac.jp,200,text/html,0.085139s
giswin.geo.tsukuba.ac.jp,200,text/html,0.074622s
giswin2.geo.tsukuba.ac.jp,200,text/html,0.086269s
git.chaos.cs.tsukuba.ac.jp,200,text/html,0.138997s
global-alumni.sec.tsukuba.ac.jp,200,text/html; charset=UTF-8,0.918490s
goose.slis.tsukuba.ac.jp,200,text/html,0.452238s
gradtex.biol.tsukuba.ac.jp,200,text/html;charset=UTF-8,0.068793s
hep-www.px.tsukuba.ac.jp,200,text/html,0.057869s
hep.px.tsukuba.ac.jp,200,text/html,0.095778s
hepsg3.px.tsukuba.ac.jp,200,text/html,0.039882s
high-s.tsukuba.ac.jp,200,text/html,0.102661s
hosp.md.tsukuba.ac.jp,200,text/html,0.077279s
hri.iit.tsukuba.ac.jp,200,text/html,0.070318s
