url,res_code,content_type,res_time,redirect_url
32.237.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.064387s,https://www.aclab.esys.tsukuba.ac.jp/
acs-gw.cs.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.069402s,https://acs-gw.cs.tsukuba.ac.jp/
adobe.cc.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.071231s,https://adobe.cc.tsukuba.ac.jp/
api.tims.cc.tsukuba.ac.jp,301,text/html,0.073055s,https://api.tims.cc.tsukuba.ac.jp/
atmnb.tsukuba.ac.jp,301,text/html,0.205069s,https://atmnb.tsukuba.ac.jp/
ayu.open.esys.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.070781s,https://ayu.open.esys.tsukuba.ac.jp/
beans.ddna.cs.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.051315s,https://www.ddna.cs.tsukuba.ac.jp/
cbs.biol.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.072299s,https://cbs.biol.tsukuba.ac.jp/
ce5.slis.tsukuba.ac.jp,301,text/html; charset=UTF-8,0.452017s,http://ce.slis.tsukuba.ac.jp/
centralasia.jinsha.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.093697s,https://centralasia.jinsha.tsukuba.ac.jp/
chem.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.109170s,https://chemistry.tsukuba.ac.jp/
chemistry.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.087906s,https://chemistry.tsukuba.ac.jp/
chs.tsukuba.ac.jp,301,text/html; charset=UTF-8,0.334140s,http://www.kansei.tsukuba.ac.jp/
ci.mdl.cs.tsukuba.ac.jp,301,text/html,0.071506s,https://ci.mdl.cs.tsukuba.ac.jp/
cojt.coins.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.119210s,https://cojt.coins.tsukuba.ac.jp/
crowd4u.slis.tsukuba.ac.jp,301,text/html;charset=utf-8,0.094389s,https://crowd4u.org/
cs.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.091569s,https://cs.tsukuba.ac.jp/
cvlab.cs.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.102848s,https://home.cvlab.cs.tsukuba.ac.jp/
deaf-s.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.087604s,https://deaf-s.tsukuba.ac.jp/
debian.hlla.is.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.068395s,https://cloud.softlab.cs.tsukuba.ac.jp/
digitalnature.slis.tsukuba.ac.jp,301,text/html,0.080526s,https://digitalnature.slis.tsukuba.ac.jp/
doclib.slis.tsukuba.ac.jp,301,text/html; charset=UTF-8,0.251487s,https://doclib.slis.tsukuba.ac.jp/
doclib3a.slis.tsukuba.ac.jp,301,text/html; charset=UTF-8,0.239580s,https://doclib3a.slis.tsukuba.ac.jp/
dora.ims.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.076542s,https://dora.bk.tsukuba.ac.jp/
eajs2019.jinsha.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.084551s,https://eajs2019.jinsha.tsukuba.ac.jp/
earth.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.083370s,https://earth.tsukuba.ac.jp/
educare.kyouiku.tsukuba.ac.jp,301,text/html; charset=UTF-8,0.083679s,http://www.kyouiku.tsukuba.ac.jp/
eeeforum.sec.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.072706s,https://eeeforum.sec.tsukuba.ac.jp/
en.home.cvlab.cs.tsukuba.ac.jp,301,application/binary,0.277651s,https://en.home.cvlab.cs.tsukuba.ac.jp/
eng.ap-graduate.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.077815s,https://eng.ap-graduate.tsukuba.ac.jp/
eng.futureship.sec.tsukuba.ac.jp,301,text/html,0.077285s,https://eng.futureship.sec.tsukuba.ac.jp/
environment.sec.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.088011s,https://environment.sec.tsukuba.ac.jp/
fireball.kz.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.076212s,http://www.kz.tsukuba.ac.jp/~mnisioka
futureship.sec.tsukuba.ac.jp,301,text/html,0.073754s,https://futureship.sec.tsukuba.ac.jp/
g-commons.global.tsukuba.ac.jp,301,text/html; charset=UTF-8,0.080455s,http://g-commons.global.tsukuba.ac.jp/news/
g.hass.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.067639s,https://g.hass.tsukuba.ac.jp/
gakko.otsuka.tsukuba.ac.jp,301,text/html; charset=UTF-8,0.146802s,http://www.gakko.otsuka.tsukuba.ac.jp/
gakumu.coins.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.116111s,https://gakumu.coins.tsukuba.ac.jp/
geijutsu.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.098290s,https://www.geijutsu.tsukuba.ac.jp/
gene.t-pirc.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.075859s,https://gene.t-pirc.tsukuba.ac.jp/
gfest.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.103719s,https://gfest.tsukuba.ac.jp/
git.mdl.cs.tsukuba.ac.jp,301,text/html,0.077187s,https://git.mdl.cs.tsukuba.ac.jp/
git.softlab.cs.tsukuba.ac.jp,301,text/html,0.103206s,https://git.softlab.cs.tsukuba.ac.jp/
gs.emp.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.083605s,https://gs.emp.tsukuba.ac.jp/
gw.mibel.cs.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.082074s,http://www.mibel.cs.tsukuba.ac.jp/
gwo.pas.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.082780s,https://gwo.pas.tsukuba.ac.jp/
hbp.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.084095s,https://hbp.tsukuba.ac.jp/
hcomp.cs.tsukuba.ac.jp,301,text/html,0.224932s,https://hcomp.cs.tsukuba.ac.jp/
hcs.tsukuba.ac.jp,301,text/html; charset=UTF-8,0.181460s,http://www.hcs.tsukuba.ac.jp/
home.cvlab.cs.tsukuba.ac.jp,301,application/binary,0.276848s,https://home.cvlab.cs.tsukuba.ac.jp/
ied.tsukuba.ac.jp,301,text/html; charset=UTF-8,0.159233s,http://www.ied.tsukuba.ac.jp/
iferi.hass.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.071879s,https://iferi.hass.tsukuba.ac.jp/
iiif.jinsha.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.091802s,https://iiif.jinsha.tsukuba.ac.jp/
infoshako.sk.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.081097s,https://www.sk.tsukuba.ac.jp/InfoShako/
inolab.slis.tsukuba.ac.jp,301,text/html; charset=utf-8,0.570058s,http://inolab.slis.tsukuba.ac.jp/en/
internal.cvlab.cs.tsukuba.ac.jp,301,application/binary,0.303060s,https://internal.cvlab.cs.tsukuba.ac.jp/
intron.kz.tsukuba.ac.jp,301,text/html; charset=UTF-8,0.329685s,http://eva.vrlab.esys.tsukuba.ac.jp/
iplab.cs.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.098319s,https://iplab.cs.tsukuba.ac.jp/
jitsi.lumi.msc.tsukuba.ac.jp,301,text/html,0.139633s,https://jitsi.lumi.msc.tsukuba.ac.jp/
journal.hass.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.074547s,https://journal.hass.tsukuba.ac.jp/
jp-ex.sec.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.109348s,http://jp-ex.tsukuba.ac.jp/
kaguya.slis.tsukuba.ac.jp,301,text/html,0.073567s,https://kaguya.slis.tsukuba.ac.jp/
kansei.tsukuba.ac.jp,301,text/html; charset=UTF-8,0.368846s,http://www.kansei.tsukuba.ac.jp/
kasys.slis.tsukuba.ac.jp,301,text/html,0.078008s,https://kasys.slis.tsukuba.ac.jp/
kiri-s.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.106378s,https://www.kiri-s.tsukuba.ac.jp/
kyouiku.tsukuba.ac.jp,301,text/html; charset=UTF-8,0.165464s,http://www.kyouiku.tsukuba.ac.jp/
lawschool.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.083382s,https://lawschool.tsukuba.ac.jp/
leblon.slis.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.102287s,https://leblon.slis.tsukuba.ac.jp:443/
login.sohosai.tsukuba.ac.jp,301,text/html,0.087543s,https://online.sohosai.com/
mail.aclab.esys.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.065982s,https://www.aclab.esys.tsukuba.ac.jp/
mail.cs.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.074630s,https://mail.cs.tsukuba.ac.jp/
mail.elementary-s.tsukuba.ac.jp,301,text/html; charset=UTF-8,0.177638s,http://www.elementary-s.tsukuba.ac.jp/
mail.mibel.cs.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.075223s,http://www.mibel.cs.tsukuba.ac.jp/
mail.softlab.cs.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.061296s,http://www.softlab.cs.tsukuba.ac.jp/
mail.tac.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.081874s,https://mail.tac.tsukuba.ac.jp/
manaba.tsukuba.ac.jp,301,text/html,0.114680s,https://manaba.tsukuba.ac.jp/
math.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.104580s,http://nc.math.tsukuba.ac.jp/
mdl.cs.tsukuba.ac.jp,301,text/html,0.065187s,https://mdl.cs.tsukuba.ac.jp/
mibel.cs.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.099608s,http://www.mibel.cs.tsukuba.ac.jp/
milab.is.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.100047s,http://www.mibel.cs.tsukuba.ac.jp/
moeller.jinsha.tsukuba.ac.jp,301,text/html,0.269248s,https://moeller.jinsha.tsukuba.ac.jp/
msc.tsukuba.ac.jp,301,text/html,0.145495s,https://msc.tsukuba.ac.jp/
na.cs.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.103488s,https://na.cs.tsukuba.ac.jp/
ns.aclab.esys.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.078436s,https://www.aclab.esys.tsukuba.ac.jp/
pas.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.108379s,https://grad.pas.tsukuba.ac.jp/
paulownia.kiri-s.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.067916s,https://www.kiri-s.tsukuba.ac.jp/
pepp.hass.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.078678s,https://pepp.hass.tsukuba.ac.jp/
pfp.hass.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.081700s,https://pfp.hass.tsukuba.ac.jp/
plesk.cc.tsukuba.ac.jp,301,text/html,0.084019s,https://plesk.cc.tsukuba.ac.jp/
rcdh.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.103331s,https://rcdh.tsukuba.ac.jp/
redmine.twins.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.081408s,https://redmine.twins.tsukuba.ac.jp/
riekisohan.sec.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.071668s,https://riekisohan.sec.tsukuba.ac.jp/
saba.aclab.esys.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.037349s,https://www.aclab.esys.tsukuba.ac.jp/
scpj.tsukuba.ac.jp,301,text/html,0.086703s,https://scpj.tsukuba.ac.jp/
serv2.hpcs.cs.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.036812s,https://www.hpcs.cs.tsukuba.ac.jp/
shako.sk.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.061113s,https://www.sk.tsukuba.ac.jp/
sk.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.095620s,https://www.sk.tsukuba.ac.jp/
sleepymouse.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.109710s,http://sleepymouse.jp/
softether27.cc.tsukuba.ac.jp,301,text/html; charset=UTF-8,0.076554s,http://www.softether.jp/
sohosai.tsukuba.ac.jp,301,text/html,0.097927s,https://www.sohosai.tsukuba.ac.jp/
